channel,time,pm_2_5
wb_47,2019-06-15 12:00:00+03:00,42.708333333333314
wb_47,2019-06-15 13:00:00+03:00,33.64878048780487
wb_47,2019-06-15 14:00:00+03:00,38.95190476190477
wb_47,2019-06-15 15:00:00+03:00,47.930454545454545
wb_47,2019-06-15 16:00:00+03:00,31.065500000000004
wb_47,2019-06-15 17:00:00+03:00,29.233023255813954
wb_47,2019-06-15 18:00:00+03:00,26.1115
wb_47,2019-06-15 19:00:00+03:00,24.54658536585366
wb_47,2019-06-15 20:00:00+03:00,23.743953488372092
wb_47,2019-06-15 21:00:00+03:00,28.103333333333325
wb_47,2019-06-15 22:00:00+03:00,38.05409090909092
wb_47,2019-06-15 23:00:00+03:00,53.521627906976754
wb_47,2019-06-16 00:00:00+03:00,49.80317073170732
wb_47,2019-06-16 01:00:00+03:00,58.612272727272746
wb_47,2019-06-16 02:00:00+03:00,60.29488372093023
wb_47,2019-06-16 03:00:00+03:00,97.68372093023252
wb_47,2019-06-16 04:00:00+03:00,157.40295454545458
wb_47,2019-06-16 05:00:00+03:00,119.66209302325586
wb_47,2019-06-16 06:00:00+03:00,106.83558139534883
wb_47,2019-06-16 07:00:00+03:00,144.14977272727276
wb_47,2019-06-16 08:00:00+03:00,92.39790697674418
wb_47,2019-06-16 09:00:00+03:00,118.46000000000002
wb_47,2019-06-16 10:00:00+03:00,69.67209302325583
wb_47,2019-06-16 11:00:00+03:00,61.697727272727256
wb_47,2019-06-16 12:00:00+03:00,53.806976744186045
wb_47,2019-06-16 13:00:00+03:00,58.11093023255814
wb_47,2019-06-16 14:00:00+03:00,52.56511627906977
wb_47,2019-06-16 15:00:00+03:00,40.74886363636363
wb_47,2019-06-16 16:00:00+03:00,38.38813953488372
wb_47,2019-06-16 17:00:00+03:00,35.00088888888889
wb_47,2019-06-16 18:00:00+03:00,37.91318181818181
wb_47,2019-06-16 19:00:00+03:00,36.98837209302325
wb_47,2019-06-16 20:00:00+03:00,30.423333333333343
wb_47,2019-06-16 21:00:00+03:00,31.66522727272728
wb_47,2019-06-16 22:00:00+03:00,42.03136363636363
wb_47,2019-06-16 23:00:00+03:00,47.61000000000001
wb_47,2019-06-17 00:00:00+03:00,50.43674418604652
wb_47,2019-06-17 01:00:00+03:00,76.07568181818182
wb_47,2019-06-17 02:00:00+03:00,111.88999999999999
wb_47,2019-06-17 03:00:00+03:00,97.7332558139535
wb_47,2019-06-17 04:00:00+03:00,123.31744186046511
wb_47,2019-06-17 05:00:00+03:00,151.2075
wb_47,2019-06-17 06:00:00+03:00,146.10906976744184
wb_47,2019-06-17 07:00:00+03:00,94.07636363636362
wb_47,2019-06-17 08:00:00+03:00,79.94488372093025
wb_47,2019-06-17 09:00:00+03:00,75.47136363636365
wb_47,2019-06-17 10:00:00+03:00,125.51186046511629
wb_47,2019-06-17 11:00:00+03:00,134.43627906976744
wb_47,2019-06-17 12:00:00+03:00,92.48590909090909
wb_47,2019-06-17 13:00:00+03:00,45.269999999999996
wb_47,2019-06-17 14:00:00+03:00,44.90363636363635
wb_47,2019-06-17 15:00:00+03:00,47.72395348837208
wb_47,2019-06-17 16:00:00+03:00,42.634772727272725
wb_47,2019-06-17 17:00:00+03:00,31.980227272727276
wb_47,2019-06-17 18:00:00+03:00,31.042954545454542
wb_47,2019-06-17 19:00:00+03:00,30.450227272727272
wb_47,2019-06-17 20:00:00+03:00,35.972222222222214
wb_47,2019-06-17 21:00:00+03:00,38.25954545454547
wb_47,2019-06-17 22:00:00+03:00,50.21976744186046
wb_47,2019-06-17 23:00:00+03:00,51.04363636363637
wb_47,2019-06-18 00:00:00+03:00,51.37116279069769
